Id,Message,Human,Prediction
48,mom scam,Negative,negative
49,corruption problem dgb solution,Negative,negative
50,dgb great future,Positive,positive
51,dgb yesssss moooon,Positive,positive
52,dgb lost sell crashes lies spread chat dgb coz people holding dgb want sell get rid profit,Negative,negative
53,dgb anywhereeeee,Neutral,negative
54,heard right dgb congratulations,Positive,positive
55,digusign dgb award https twitter com digibytecoin status,Positive,positive
56,haters gonna hate,Negative,negative
57,dgb lost hahahaha,Negative,negative
58,many awards,Neutral,neutral
59,dgb win really,Negative,negative
60,dgb dgb dgb go go go,Neutral,neutral
61,joke buy dgb rocket moon leave soon,Neutral,neutral
62,love citi,Positive,positive
63,good initiative action,Positive,positive
64,good tips tools,Positive,positive
65,beautiful place praise god love grace,Positive,positive
66,wonderful program,Positive,positive
67,awwww sometimes slips happen way said us shows frustrations biased approach mr yashwant sinha angry fufa ji family matter stay angry fufa jis well like arun shauri jaswant singh counter arguments well like ratan tata ceo jp morgan economists calling govt motives path braking futuristic never publish comment,Negative,negative
68,ceo corbat feel witnessed citibank get robbed inside natalie westfall help facilitate theft continuing advance broker proceeds deal including purchase price plus commission even though evidence broker forwarding money vendor layman terms natalie westfall worked citibank broker worked would send banfield petsmart deals equally k start loans veterinarians broker paid k commission plus k supposed pass onto banfield broker kept entire k never paid banfield broker deals eqially well million broker conveniently went bankrupt question citibank write debt go dvm opinion percent citibanks fault continuing fund deals pay broker loan amount plus brokers commission even though knew broker keeping money ms westfall complicit bank robbery moved de lage landen signed extortion contracts henry schein promising pay secret kickbacks bribes schein financial services llc exchange exclusive access couple years henry schein rewarded job working soliciting kickbacks every major bank country us bank bank west bank america stearns bank marlin leasing de lage landen etc literally contracts place state matter schein send dr dr walks bank owes least percent kickback ceo corbat name former ceo prince let go partly ms westfall something woman bank robber actively threatening ceo like bofa moynihan saying pay schein kickback else else threat,Neutral,neutral
69,great big hearty thank sponsor made possible citibank presume,Positive,positive
70,amazing golfer great heart others,Positive,positive
71,awesome young man thank,Positive,positive
72,whoa looks like picked great area gorgeous,Positive,positive
73,put citibank us blast opened account week ago deposited checks tell funds available friday received email saying available balance friday wtf call tell put hold checks bank issued checks sent alert checks maybe returned huh right makes sense called bank front stated telling truth one contacted verify comes another excuse said new account hold business days never stated paperwork ok fine whatever thursday th ask work check hits account get money yes course show friday tell fraud alert account access money could would explain escorted bank prayed hard god kept beating woman ass rude treated like done something wrong pay bills feed kids pay rent get work treated like straight criminal money legit ok hold checks til clear give work check explanation account frozen first thing monday morning,Negative,negative
74,beautiful picture,Positive,positive
75,sarah,Neutral,neutral
76,use citibank,Negative,negative
77,jose guillermo geronimo,Neutral,neutral
78,cbn n bn mcjg nb mbb bn nb nb bn ml n bi n hmm b,Neutral,neutral
79,hi going announce winners,Neutral,neutral
80,hi get new shoes freebie worth p nike stadium planet sports get cash hours enjoy annual fees interested check http www citibank com ph landing page loan offer rce index htm ecid mgfmmphpbaenmg ref,Neutral,neutral
81,shinya chan mindy neoh k tix nia,Neutral,neutral
82,gino liew sharon liew,Neutral,neutral
83,hi baby love love marko,Positive,positive
84,ira kayzel macapagal,Neutral,neutral
85,two separate comments remember seeing el prado museum madrid back shocked poor condition museum clearly miniscule budget lighting poor artworks often crammed together whole place state disrepair everything old ragged discolored etc next point april sister went shedd aquarium chicago great place quite expensive adding injury insult say stand line unreasonable amount time slow line made sense got purchase desk girl almost unintelligible sometimes look chicago area way spoke crazy neither sister could make much sense muddled use words kept using word constituency made sense kept telling wanted regular package including dolphin show insisted rambling different packages could choose tell thanks thanks please realize businesses want accused discrimination native born speaker even understand ticket seller saying time reconsider hiring otherwise comments shedd exhibits generally amazing though price quite hefty,Negative,neutral
86,qantas inches pitch even long haul planes f customer service much better virgin australia customer service inches pitch long haul,Neutral,positive
87,cairo egypt general great february regret stay month,Neutral,negative
88,people flight going stay looks like everything damaged would want vacation would way people trying get lives back time tourists,Negative,negative
89,tried weeks eventually decided go bose sony quite big comfortable main challenge sony switching computer phone works bose always hassle sony,Negative,negative
90,aansh everyone else jumping bandwagon smh,Negative,negative
91,newer ones better grip handle bought set december one mine got damaged flight replaced immediately new rubber grip best efficient customer service ever experienced,Positive,positive
92,ann e adams ray adams fyi info comments,Neutral,neutral
93,mark ask holidays,Neutral,neutral
94,jared lomeo moment waiting christmas list,Neutral,neutral
95,zari dumanian pizza suit pup suit thought,Neutral,neutral
96,claire b hultin cara campton,Neutral,neutral
97,know tegal big enough airport handle thanks sharing,Positive,positive
98,praise lord prayers answered,Positive,positive
99,gf flying right said planes old,Neutral,neutral
100,little bigger normal rooms,Neutral,negative
101,night spg member never get suite,Neutral,negative
102,hate keys work,Negative,negative
103,w la suck especially,Negative,negative
104,w hollywood idiots,Negative,negative
105,marriott megabonus snafu,Neutral,negative
106,note wifi terrible westin ha,Negative,negative
107,american airlines really declined even domestic first class would switched alaska airlines superior service superior comfort superior rewards,Positive,positive
108,expensive airline redeeming airlines miles rare see k per leg want book,Neutral,negative
109,lisa kay gage asking puerto rico earlier vieques one favorite places completely devastated getting help,Neutral,negative
110,philz virgin america always best rip virgin america,Negative,positive
111,well private company paid tax dollars problem,Neutral,negative
112,forced pay back costs flights also idiot,Negative,negative
113,jack ass leaving mess district nasty special election run candidate reps assaulting voters go resign mo later screw tom price,Negative,negative
114,miss something know became political page unfortunate really enjoyed page,Negative,negative
115,rather sit airplane ground deal dead,Neutral,negative
116,matter couple drinks taste high end stuff think otherwise take short walk bar,Neutral,neutral
117,got credit mid flight jetblue crew late stuck traffic airport caused delay given everyone fight nice,Negative,negative
118,klm biz sucks period,Negative,negative
119,ditch amex way avoid,Neutral,negative
120,total false flag need change,Negative,negative
121,one tragedy happens like hotel ever supposed change whole industry ridiculous article,Negative,negative
122,get well soon miles,Positive,neutral
123,tamara espinoza next buy plot land beach somewhere,Neutral,neutral
124,breakfast quiche looked great,Positive,positive
125,worry beach back time comes goes even irma gotta wait rest island rebuilt hopefully rebuild beach bar well,Neutral,neutral
126,amex lounge airline lounge,Neutral,negative
127,wait visit,Positive,negative
128,husband pilot years business military regional freight majors please take article gospel regionals start twenties long hours numbers way,Neutral,neutral
129,tania vee hannah rose next visit,Neutral,neutral
130,picture real,Neutral,negative
131,beautiful city month ago th birthday,Positive,positive
132,even worse may take resolve,Neutral,negative
133,arrived counter around heard gate agent announce boarding going begin however one issue trouble actually checking attempted call manager answer,Negative,negative
134,option spend tonight airport istanbul turkish airlines personnel knew starting us citizens allowed,Neutral,neutral
135,day rescue landshut living symbol free society cannot defeated fear terror,Positive,neutral
136,diana yahya client correspondence thank trying help citibank obviously sincere providing assistance either obvious glaring flaw system orocess time anyone sees get standard response,Negative,negative
137,seriously becoming nuisance call citibank credit card fee waiver every time answer cannot offer fee waiver offer ali cash rebate credited back tot account within months time reply answer given previous year also offering divide owe monthly payments one time processing fee plus order get annual fee waiver customer engagement dept read messages customers textbook print seriously benefits long time customer citibank get annual fee waiver need first month monthly payment surprising indeed,Negative,neutral
138,keep showing message login already login still show message,Neutral,neutral
139,find right citi credit card benefits include bonus miles cash back low intro apr great rewards depending needs,Neutral,neutral
140,extremely disappointed,Negative,negative
141,informed customer assistance specialists authorized agencies may reach assist making payment informing everyday agencies literally delay payment outstanding amount due mu job change still calling day night check making payment please clear cheque may pay outstanding dues serious lag way citibank conducts day day business,Negative,negative
142,new process,Neutral,neutral
143,yes also told rectify website avoid problem future,Negative,negative
144,month,Neutral,neutral
145,wrong latest mobile app every time try login says could login try another time pl fix,Negative,negative
146,could please arrange,Neutral,neutral
147,celebrate giving,Positive,positive
148,citi rewards program,Neutral,neutral
149,hlw team use online net banking please call urgent,Negative,negative
150,celebrate home,Positive,neutral
151,already applied also verification done month guy told someone go location final verification one response,Negative,neutral
152,actually thx u sir thx lot,Positive,neutral
153,want credit card,Neutral,neutral
154,thanks apply,Positive,positive
155,celebrate home,Positive,neutral
156,file process,Neutral,negative
157,need citibank credit card,Neutral,neutral
158,gifting loved ones,Positive,positive
159,available surat gujrat,Negative,negative
160,city listed,Neutral,negative
161,lost credit card also remember login details internet banking looking write email regarding pending dues credit card help direct email address write cannot login write cannot reset password,Negative,negative
162,reward points applicable debit card well,Neutral,neutral
163,receive call yet,Neutral,negative
164,whatsgoodthisdiwali would like gift iphone dear one,Positive,neutral
165,active,Neutral,neutral
166,really disappointed worst services apply hidden charges credit card already cancelled going post negative review credit card online review sites,Negative,negative
167,jaipur nhi h apke city option,Neutral,neutral
168,poland anymore cannot go branch citi exist latvia,Negative,negative
169,mobile number,Neutral,neutral
170,hai would like apply loan salary,Neutral,neutral
171,hi could please help reset password password received work thank,Negative,negative
172,getting message tried login currently experiencing technical issue complete verification time please try later,Negative,negative
173,emails receive regarding citi thank credit card reference account mine shows last four digits account number incorrect information accurate spoke customer service said could ignore issue however need better explanation emails reference wrong account number want corrected,Negative,negative
174,citi mastercard cannot serious cannot serious offer cash back school loan ask rebate say sorry made school payment one day early service policy train people bait switch,Negative,negative
175,would care celebrity thinks anything entertainment american citizen quite thankful country willing protect ensure freedom,Positive,positive
176,approved citibank credit card cannot use berated supervisors inquiring seems like terrible customer service new account holder,Negative,negative
177,complete disregard customer service expected thanks nothing,Negative,negative
178,citibank must worst customer service sent less correspondence try close business acct tried contacting greenwich street branch statement avail sent letters san antonio directed cms buffalo trying one time fedex ing packages hard close zero balance corporate acct activity year please email antonia ellis mineralstech com acct minerals technologies address statements sent third ave attn lucy part b tart could someone resolve would appreciate contact ext ask antonia ellis direct number monday thursday acct ends cust u even walked nearby branch could help,Negative,negative
179,got message maybe phone tried call people phone working know,Neutral,negative
180,number contact representative directly online login recognizing card number ssn neither automated system military travel card issue,Negative,neutral
181,loyal customer almost ten years receiving return loyalty,Negative,negative
182,waiting since visiting branch last thursday funds transferred westpac account told lady branch would occur within hours amount cents sent account rest money,Negative,negative
183,wrong siri called leave message leave name tell call customer service dude nothing getting done nothing getting done clear wander stand,Negative,negative
184,submitted online application thru website however allowing upload documents proof income tried different pcs phones none worked sent message website replied email address applyonline ph citi com sent email address came back undelivered per postmaster help,Negative,negative
185,hi warren city rewards mean location account opened,Neutral,neutral
186,read previous response would see already told opened us thank rewards husband dividends rewards think diamond rewards although may one well three linked checking account,Neutral,neutral
187,rafael estrada aviles,Neutral,neutral
188,ba erv ce usage rm within day get luggage get poor camera,Negative,negative
189,citibank member purchase easier,Neutral,neutral
190,problem credit card name carl john mcmahon contact number time zone spain card work block put card identify properly identification process issues however call centers tell card work block sorry wrong reason originally called card work process stuffed identification information providing old email address hence card blocked tried calling times clear security block nothing card working know see previous messages sent problem actually happened furious last time may forgiving recorded phone calls service centers going take full page ad sydney newspaper transcripts calls inconvenience become inconvenience funny average layperson funds means time customer sit back watch fallout,Negative,negative
191,thanks joanne huynh mornings probably best thanks,Positive,positive
192,tried another atm mcdonald well still seem work,Negative,negative
193,applied credit card citibank got mail email asking copy address sent hear call back told resent pdf caz open email sent sent w pdf got decline application letter saying unable verify home phone address sent twice trying get hold someone solve issue phone number application helping either ph numbers reps need someone talk solve problem,Negative,negative
194,thank u jody unable call island communications destroyed call due date know impossible meet also access banking phones,Negative,negative
195,received pin actual card,Negative,negative
196,yes would like call keep sending emails yes got another rejection spoke stated last increase long ago know fema county last two day giving food stamp cards much damage done company leaves terrible taste mouth,Negative,negative
197,dear citibank name icak hendrik royal carribean cruise line employee im join citi prepaid card money transfer date indonesian bank family receive money mistake wrong typing input one alphabet receiver name money back account automatically please help need advice thank best regards,Negative,neutral
198,thanks rita helps tremendously glad hear still open gaithersburg,Positive,positive
199,unable process already keyin otp,Negative,negative
200,ok situation frustrating,Negative,negative
201,bank united bank africa bank uses bank intermediary bank transfer made account since nd september yet receive money sent woodforest national bank hudson miss helen kaziska would like know hold ever since frustrating,Negative,negative
202,hi using citi bank indian oil credit card points ioc guy refuse redim,Negative,negative
203,talking,Neutral,neutral
204,waited hours answer,Negative,negative
205,thank responding regular acct us make another call citi us based missed pmt may however set automatic payment set automatic pmt terrible time citi customer service back jan cept calling every day make sure received problem well cut limit charged fees pm bank closed terrible want acct credit back month send every month like told last cs agent spoke maybe cut limit made percentage go way going anywhere need talk agent,Negative,negative
206,still receive call bank side plz make fast get credit card address,Neutral,neutral
207,hi name javed ahmed khan muhammad applied credit card sales lady begged going work arranging required documents application rejected reason given hell people,Negative,negative
208,update information bank website attracting people open account minimum bhd maintaining balance month well told one representative waiting morethan minutes changed policy atleast minimum bhd open account amazing waste hour guys expecting deliver post citibank manama seef unbelievable,Negative,negative
209,hi problem tried mobile app would still require enter otp mentioned contact number used otp inactive therefore unable receive otp,Negative,negative
210,kidding,Neutral,neutral
211,hi sir follow pag ibig card name teresa camill pineda loan already approved last july initial card expired last july per pag ibig delivered already returned due name printed card pag ibig requested correction last aug update said card pls called ur hot line last week per agent schedule delivery early next week update hope update please,Negative,negative
212,updates citibank,Neutral,neutral
213,exchange money worried information verifying need worry thanks,Neutral,negative
214,quite urgent get representative call card declined k left credit limit pa,Negative,negative
215,fault unable get call,Neutral,negative
216,name john fredrick dino,Neutral,neutral
217,send credit card id requiresments phid citi com,Neutral,neutral
218,calling keep saying card delivered week already,Negative,negative
219,please answer,Neutral,neutral
220,channel activate card except calling customer service,Neutral,negative
221,hard active pag ibig prepaid card operator always says digit invalid would activate even though call customer always say respond invalid,Negative,negative
222,hi good morning concerned regarding name involved application citibank please give reviews application want know got phonecall one customer service agent thank,Neutral,negative
223,hi activates asking request permission world wide world philippine nationawide coastal province constructions luxury passenger ships jobs creations program,Neutral,neutral
224,hi gaurav please advise would like continue conversation,Neutral,neutral
225,karthik krishnamurthy replied ad last ad published,Neutral,neutral
226,worries diwali great time try something new great saving options pay citi credit card check,Positive,positive
227,garima verma tanwar replied ad last ad published,Neutral,neutral
228,namita pawar replied ad last ad published,Neutral,neutral
229,better time surprise loved ones perfect gift diwali looking buy,Positive,positive
230,hello zain happy diwali please share us planning delight loved ones help us assist better whatsgoodthisdiwali,Neutral,neutral
231,hi ravi please advise would like continue conversation,Neutral,neutral
232,hi vijju please advise would like continue conversation,Neutral,neutral
233,birendra pratap replied ad last ad published,Neutral,neutral
234,neva lal varma replied ad last ad published,Neutral,neutral
235,hi bismoy please advise would like continue conversation,Neutral,neutral
236,hello indra wish loved ones happy diwali assist festive season whatsgoodthisdiwali,Positive,positive
237,hi shila please advise would like continue conversation,Neutral,neutral
238,hello solanki wish loved ones happy diwali assist festive season whatsgoodthisdiwali,Positive,positive
239,hello avinash wish loved ones happy diwali assist festive season whatsgoodthisdiwali,Positive,positive
240,due technical error could process message please try,Negative,negative
241,thank nice chatting,Positive,positive
242,hi aabid please advise would like continue conversation,Neutral,neutral
243,rajesh bhati replied ad last ad published,Neutral,neutral
244,arshad saifi replied ad last ad published,Neutral,neutral
245,hi sanskar please advise would like continue conversation,Neutral,neutral
246,jahangeer basha replied ad last ad published,Neutral,neutral
247,hi abdul razak please advise would like continue conversation,Neutral,neutral
248,hi vinod please advise would like continue conversation,Neutral,neutral
249,hello samir happy diwali please share us planning delight loved ones help us assist better whatsgoodthisdiwali,Positive,neutral
250,hey minhaj sorry unable understand could share details query help us assisting better,Negative,neutral
251,hello biswajit wish loved ones happy diwali assist festive season whatsgoodthisdiwali,Positive,positive
252,understand busy thanks time joyous festive season great connect type citibank india messenger find goodbye,Positive,neutral
253,imran shaikh replied ad last ad published,Neutral,neutral
254,great get back couple hours thanks time goodbye,Positive,positive
255,hi mukesh please advise would like continue conversation,Neutral,neutral
256,worries diwali great time try something new great saving options across partner brands well check,Positive,positive
257,hey jain sorry unable understand could share details query help us assisting better,Negative,neutral
258,anything else help,Neutral,neutral
259,excited customer soon pleasure serve meanwhile allow us share host amazing offerings live citi festive season please suggest category would like explore share us whatsgoodthisdiwali,Positive,positive
260,hello loco happy diwali please share us planning delight loved ones help us assist better whatsgoodthisdiwali,Positive,neutral
261,plus apply get rs cashback well c apply,Neutral,neutral
262,hi sandhya please advise would like continue conversation,Neutral,neutral
263,hi srinivasa please advise would like continue conversation,Neutral,neutral
264,hello dilip wish loved ones happy diwali assist festive season whatsgoodthisdiwali,Positive,positive
265,offer subscribed successfully,Positive,positive
266,hey pankaj sorry unable understand could share details query help us assisting better,Negative,negative
267,hello ajay wish loved ones happy diwali assist festive season whatsgoodthisdiwali,Positive,positive
268,hey anil sorry unable understand could share details query help us assisting better,Negative,neutral
269,hey rama ram sorry unable understand could share details query help us assisting better,Negative,neutral
270,festive season keeping everyone toes please share us plan delight loved ones know great saving options citi cards whatsgoodthisdiwali,Neutral,neutral
271,hi prerak please advise would like continue conversation,Neutral,neutral
272,hi jayshil please advise would like continue conversation,Neutral,neutral
273,great saving options pay citi card across partner brands check,Positive,positive
274,worries diwali great time try something new great saving options choose well check,Positive,positive
275,hey pavni sorry unable understand could share details query help us assisting better,Negative,neutral
276,hey rajesh sorry unable understand could share details query help us assisting better,Negative,negative
277,riyaz riyaz replied ad last ad published,Neutral,neutral
278,would like complement travel gifts loved ones,Neutral,positive
279,want set notifications,Neutral,neutral
280,suggest apply citi credit card soon get citi credit card get access host saving options transacting favorite brands earn reward points along way,Positive,neutral
281,palamurukan palamurukan replied ad last ad published,Neutral,neutral
282,hello shariq wish loved ones happy diwali assist festive season whatsgoodthisdiwali,Positive,positive
283,hey rutvik sorry unable understand could share details query help us assisting better,Negative,neutral
284,hi ajit asr please advise would like continue conversation,Neutral,neutral
285,hi paras please advise would like continue conversation,Neutral,neutral
286,hello kalton wish loved ones happy diwali assist festive season whatsgoodthisdiwali,Positive,positive
287,hey abhishek sorry unable understand could share details query help us assisting better,Negative,negative
288,hi gajendra please advise would like continue conversation,Neutral,neutral
289,amazing diwali great time celebrate togetherness please suggest already booked travel,Positive,positive
290,hey akanksha please check amazing options travel needs,Positive,neutral
291,hi kuldeep citi offers host card options help choose right citi card whether avid shopper passionate traveler diner,Neutral,neutral
292,hi santosh could elaborate query address objectively,Neutral,neutral
293,new iphone arrived citi exclusive offer use pamper loved ones,Positive,positive
294,hi narendra please advise would like continue conversation,Neutral,neutral
295,hey onkar sorry unable understand could share details query help us assisting better,Negative,neutral
296,chat us get latest shopping much whatsgoodthisdiwali,Neutral,neutral
297,hi uday please advise would like continue conversation,Neutral,neutral
298,hi somavanshi harish please advise would like continue conversation,Neutral,neutral
299,franklin felix replied ad last ad published,Neutral,neutral
300,make smiles fashionable diwali find perfect outfits loved ones shopping citi partners save big,Positive,positive
301,dear raju please select one options proceed,Neutral,neutral
302,hi sushant citi offers host card options help choose right citi card whether avid shopper passionate traveler diner,Neutral,neutral
303,hi sushant please advise would like continue conversation,Neutral,neutral
304,hello wish loved ones happy diwali assist festive season whatsgoodthisdiwali,Positive,positive
305,hi citi offers host card options help choose right citi card whether avid shopper passionate traveler diner,Neutral,neutral
306,sounds exciting,Positive,positive
307,pretty simple click apply button banner get started best gift give diwali,Neutral,neutral
308,hey mahesh sorry unable understand could share details query help us assisting better,Negative,neutral
309,hey muhammad sorry unable understand could share details query help us assisting better,Negative,neutral
310,make diwali extra special citi please share us whatsgoodthisdiwali find exciting saving options festive season,Neutral,neutral
311,hi amit please click share query details https asia citi com india socialmedia customerquery htm get touch shortly case looking immediate resolve please connect us call charges applicable,Neutral,neutral
312,hi rakesh please advise would like continue conversation,Neutral,neutral
313,chat us get latest traveling much whatsgoodthisdiwali,Neutral,neutral
314,hello mayuri wish loved ones happy diwali assist festive season whatsgoodthisdiwali,Positive,positive
315,hey rahul sorry unable understand could share details query help us assisting better,Negative,negative
316,hi tamil please share contact details https asia citi com india socialmedia customerquery htm get touch shortly alternatively also call us call charges applicable able serve better query,Neutral,neutral
317,amazing need impress loved ones culinary treat buy ingredients recipe right citi card save big,Positive,positive
318,hi arushi happy note satisfied quality service best keep always delighted thanks team citibank india,Positive,positive
319,hi abhishek please advise would like continue conversation,Neutral,neutral
320,avantika sharma replied ad last ad published,Neutral,neutral
321,hi mr mohammad thanks enquiry apply credit card visiting website http spr ly njzu,Positive,neutral
322,thank response dillon member team reaching shortly john,Positive,neutral
323,hello natalie appreciate reaching via facebook yes right working resolve technical issue site message back fixed thanks patience sincerely tania,Positive,positive
324,hello chris thank taking time reach us cases account charged need reach collections department assistance account review please send us message account card type country account account numbers please thanks maryrose,Positive,neutral
325,hi anna regret hear frustration better assist please provide us account type please include account numbers pins sincerely fred,Negative,negative
326,hi christopher happy answer question would cents hope helps regards sharane j,Positive,neutral
327,hi cathryn understand contacted one representatives matter resolved anything else help future please let us know thanks cathryn,Neutral,neutral
328,thanks josh organised representative contact directly uk business hours assist thanks,Positive,positive
329,thank kevin sending contact number escalate account concerns home depot team please allow business hours call thanks john,Positive,neutral
330,michael happy reach team request expected time frame issue please allow least hours contacted member team thanks sharane j,Positive,positive
331,hi alvin ong kindly provide details order us check lazada promotion related matter full name contact number best regards citibank malaysia facebook page team,Neutral,neutral
332,hi ong tou posting updates citi rewards carnival soon may refer link provided updates http spr ly dl best regards citibank malaysia facebook page team,Neutral,neutral
333,hi steven yeoh help today best regards citibank malaysia facebook page team,Neutral,neutral
334,experiencing difficulty processing could please try,Negative,negative
335,hello marie sorry confusion please forward email customer help citi com sure reference facebook message would like review respectfully tea w,Negative,neutral
336,stephonia regret unsuccessful reaching today please provide better time contact discuss fee waivers account regards zandra j,Negative,negative
337,apologies confusion facebook private message wonderful evening best maryrose,Neutral,positive
338,hi low wai hong may download complete card conversion form provided link kindly complete form submit form back us via details provided required submit documents unless want update income details please take note card conversion request still subjected bank approval within working days url form http spr ly nlpt e mail incomeupdate citi com best regards citibank malaysia facebook page team,Neutral,neutral
339,hi ayie zuhairi yes sunway pyramid booth operation hour pm everyday best regards citibank malaysia facebook page team,Neutral,neutral
340,hello stacey received response regarding balance transfer due response consider matter resolved additional questions concerns please hesitate reach us happy assist best regards fred,Neutral,neutral
341,thank information rossana someone team call next hours like apologize inconvenience caused,Neutral,neutral
342,welcome kim,Positive,neutral
343,one supplementary cardholder yen,Neutral,neutral
344,thank getting touch us maria alejandro may know account related concern assist better,Neutral,neutral
345,hi shiemielle shakey valid dine take may also want check www citibank com ph lovetodine details promo case questions feel free message us,Neutral,neutral
346,hi ana sorry fell short expectations allow us make right unsecured channel may recommend call citiphone,Negative,negative
347,hi jergens joy sorry fell short expectations allow us make right unsecured channel may recommend call citiphone,Negative,neutral
348,thanks getting touch krizelle help,Positive,positive
349,hi kenneth thanks enquiry monthly service fee applies checking savings accounts applied average daily combined balance falls service fee threshold requirement consecutive months citibanking customers service fee threshold requirement hkd different monthly service fees service fee threshold requirements different banking accounts details please visit http citibank hk english banking pdf service fee pdf,Neutral,neutral
350,ruling cpim government soft towards growing terror groups kerala primarily reliance minority vote banks may compromise national security communist party supporting separatists extremists yechuri opinion jnu issue cpm affilation mahadani jail points towards kanhaiya kumar famous kasmir mange aasadi slogan leading election campaigns kerala posters large section religious extremists uses communist identity social media gives cover security,Negative,neutral
351,bad see racism attitude police shootings killings year primarily black men must gun first go many countries able exist without police killing citizens basic traffic violations also jailed bankers stealing citizens bank meltdown caused greedy investment bankers instead bailing trump line violation law making statements,Negative,negative
352,think businesses overcharging anything time need ridiculous like best buy afford give free water,Negative,negative
353,hi anurag please click https asia citi com india socialmedia customerquery htm provide contact details get touch,Neutral,neutral
354,please call,Neutral,neutral
355,hi chandrakanth taken note concern team get touch thank,Neutral,neutral
356,fraudulent transactions credit card beyond credit card limit citibank even ready refund amount credit card limit worst bank worst customer support ever,Negative,negative
357,hi sanjeev hope received call team regarding concerns,Neutral,neutral
358,already posted query quick solution link later use poor customer service well negligence customers,Negative,negative
359,hi thank interest citibank currently operational city therefore unable process application thank contacting citibank,Neutral,negative
360,citibank india plz check entry timeline wish uh love,Positive,positive
361,citibank india check comment copied frm pl take note thanks,Neutral,positive
362,wind turbines stupid people,Negative,neutral
363,ever heard fukushima google,Neutral,neutral
364,solar wind ineffective stored energy unless make extremely powerful efficient batteries solar wind never supply major cities mw cant even power carrier little power takes lot room relies heavily perfect circumstances united states nuclear least impact look wind farms surrounding lands look solar farms surrounding lands flat tree free short grass much different suburban neighborhood unless stick em desert like nuclear waste,Neutral,neutral
365,totallay agree worst bank uae cant even use debit card buy pizza get uber shop online painful account bank debit card even gets blocked petty security issues,Negative,negative
366,understand english parts technicians engineers forest winds year advance think,Neutral,neutral
367,dino alberini may yes maybe point still use wind mills like make sure build considering environment effects,Neutral,neutral
368,giving people stable water electric supply first,Neutral,neutral
